name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/09-aws-keys/full,grep-captures,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,32514634,193,4.56s,15.56ms,21.35us,15.58ms,55.89us,15.49ms,15.83ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,32514634,195,4.56s,15.38ms,21.11us,15.39ms,88.79us,15.31ms,16.26ms
curated/09-aws-keys/quick,grep,0.1.0 (rev be8b1354b8),python/re,3.12.3,,32514634,21,5.01s,148.81ms,91.86us,148.86ms,197.83us,148.58ms,149.30ms
curated/09-aws-keys/quick,grep,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,32514634,188,4.56s,15.97ms,35.47us,16.00ms,73.52us,15.87ms,16.27ms
curated/09-aws-keys/quick,grep,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,32514634,192,4.61s,15.70ms,24.73us,15.71ms,78.64us,15.62ms,16.53ms
curated/09-aws-keys/compile-full,compile,0.1.0 (rev be8b1354b8),python/re,3.12.3,,,19556,4.56s,151.23us,818.00ns,151.36us,2.83us,146.69us,474.61us
curated/09-aws-keys/compile-full,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,28783,4.56s,80.69us,1.15us,81.01us,1.92us,76.82us,118.75us
curated/09-aws-keys/compile-full,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,22688,4.51s,83.01us,1.22us,83.47us,2.22us,78.97us,118.34us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev be8b1354b8),python/re,3.12.3,,,80385,4.56s,35.90us,271.00ns,35.96us,1.31us,34.24us,339.81us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,158818,4.56s,13.69us,208.00ns,13.72us,359.00ns,12.50us,33.48us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,154963,4.56s,13.96us,190.00ns,13.99us,338.00ns,12.85us,33.41us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,151522,1928,4.56s,1.55ms,4.94us,1.56ms,12.01us,1.54ms,1.91ms
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,151522,16029,4.51s,186.88us,1.04us,187.13us,1.79us,182.59us,247.34us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,151522,16528,4.51s,181.49us,1.43us,181.49us,2.04us,176.22us,202.82us
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,248919,8971,4.51s,334.27us,839.00ns,334.39us,1.34us,331.19us,349.49us
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,248919,8963,4.51s,334.71us,1.02us,334.72us,2.96us,330.67us,572.97us
curated/10-bounded-repeat/context,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,7384531,38,4.56s,78.95ms,48.87us,78.96ms,76.87us,78.81ms,79.11ms
curated/10-bounded-repeat/context,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,7384531,50,4.61s,60.90ms,197.88us,60.75ms,371.76us,60.17ms,61.21ms
curated/10-bounded-repeat/context,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,7384531,49,4.61s,62.24ms,226.40us,62.11ms,364.57us,61.50ms,62.52ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev be8b1354b8),python/re,3.12.3,,7384531,30,4.66s,101.98ms,104.93us,101.96ms,203.05us,101.49ms,102.41ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,7384531,391,4.56s,7.68ms,9.85us,7.68ms,13.73us,7.66ms,7.75ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,7384531,391,4.56s,7.68ms,9.90us,7.68ms,12.46us,7.66ms,7.74ms
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev be8b1354b8),python/re,3.12.3,,,71794,4.56s,40.01us,316.00ns,40.10us,1.46us,38.12us,373.16us
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,45002,4.56s,51.87us,401.00ns,51.95us,698.00ns,49.85us,72.15us
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,,43417,4.56s,53.62us,529.00ns,53.68us,829.00ns,51.26us,72.77us
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev be8b1354b8),python/re,3.12.3,,,114035,4.56s,24.53us,242.00ns,24.60us,2.35us,23.13us,700.47us
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,,45050,4.56s,52.49us,381.00ns,52.57us,677.00ns,50.71us,72.16us
